probability, central cube size, simulation size
0.2430000000, 64, 512

size,number terminated,number still growing
15715,1,0
13922,1,0
10545,1,0
8579,1,0
8485,1,0
6188,1,0
4538,1,0
4413,1,0
4412,1,0
4386,1,0
3916,1,0
3558,1,0
3495,1,0
3246,1,0
2736,1,0
2273,1,0
2131,1,0
2059,1,0
1861,1,0
1742,1,0
1673,1,0
1659,1,0
1598,1,0
1581,1,0
1502,1,0
1430,1,0
1422,1,0
1373,1,0
1329,1,0
1229,1,0
1227,1,0
1152,1,0
1124,1,0
1119,1,0
1069,1,0
1036,1,0
1019,1,0
1005,1,0
991,1,0
990,1,0
983,1,0
972,1,0
969,1,0
957,1,0
925,1,0
912,1,0
905,2,0
885,1,0
820,1,0
816,1,0
779,1,0
753,1,0
752,1,0
745,1,0
711,1,0
691,1,0
689,1,0
671,1,0
667,1,0
652,1,0
635,1,0
589,1,0
578,2,0
574,1,0
573,1,0
561,1,0
536,1,0
534,1,0
526,1,0
508,1,0
491,1,0
490,1,0
484,2,0
480,1,0
472,1,0
471,1,0
468,2,0
455,1,0
453,2,0
452,1,0
443,1,0
441,1,0
440,2,0
436,2,0
424,1,0
421,1,0
413,1,0
401,1,0
400,2,0
394,1,0
390,1,0
387,1,0
386,1,0
384,2,0
374,1,0
371,1,0
357,1,0
347,1,0
343,1,0
333,2,0
330,1,0
320,1,0
318,1,0
317,1,0
315,1,0
313,1,0
307,1,0
305,1,0
299,1,0
295,1,0
281,1,0
279,1,0
278,1,0
265,1,0
264,2,0
262,1,0
259,4,0
258,1,0
257,1,0
253,1,0
251,1,0
250,1,0
248,1,0
247,2,0
246,1,0
238,2,0
237,2,0
234,4,0
233,1,0
231,1,0
226,1,0
225,1,0
222,2,0
221,2,0
218,1,0
216,1,0
214,1,0
212,1,0
210,2,0
209,2,0
208,1,0
207,2,0
201,2,0
198,2,0
197,1,0
196,2,0
194,1,0
193,3,0
192,1,0
191,1,0
190,1,0
187,1,0
181,1,0
179,2,0
176,2,0
175,1,0
174,1,0
172,2,0
171,2,0
170,2,0
169,1,0
168,2,0
167,1,0
166,4,0
165,1,0
164,1,0
162,1,0
160,2,0
158,2,0
157,1,0
156,1,0
152,2,0
151,2,0
150,2,0
149,1,0
148,2,0
147,2,0
144,2,0
140,2,0
139,3,0
138,1,0
137,1,0
136,2,0
134,2,0
132,3,0
131,1,0
130,1,0
127,1,0
126,1,0
125,2,0
124,1,0
123,3,0
122,2,0
121,1,0
120,3,0
119,3,0
118,2,0
117,2,0
116,7,0
115,2,0
114,2,0
113,1,0
112,2,0
111,3,0
109,4,0
108,6,0
107,2,0
106,2,0
105,1,0
104,4,0
103,3,0
102,6,0
101,4,0
100,5,0
99,3,0
98,3,0
97,4,0
96,3,0
95,7,0
94,3,0
93,7,0
92,5,0
91,2,0
90,4,0
89,5,0
88,4,0
87,2,0
86,10,0
85,4,0
84,5,0
83,5,0
82,4,0
81,1,0
80,7,0
79,6,0
78,6,0
77,4,0
76,3,0
75,4,0
74,2,0
73,3,0
72,6,0
71,8,0
70,7,0
69,3,0
68,4,0
67,8,0
66,6,0
65,5,0
64,11,0
63,6,0
62,6,0
61,8,0
60,11,0
59,5,0
58,6,0
57,12,0
56,4,0
55,14,0
54,8,0
53,10,0
52,10,0
51,7,0
50,10,0
49,16,0
48,12,0
47,10,0
46,12,0
45,16,0
44,13,0
43,17,0
42,17,0
41,16,0
40,25,0
39,11,0
38,25,0
37,34,0
36,14,0
35,33,0
34,29,0
33,26,0
32,33,0
31,34,0
30,42,0
29,42,0
28,39,0
27,40,0
26,52,0
25,49,0
24,55,0
23,55,0
22,72,0
21,82,0
20,94,0
19,82,0
18,107,0
17,124,0
16,128,0
15,154,0
14,173,0
13,208,0
12,244,0
11,334,0
10,365,0
9,462,0
8,599,0
7,799,0
6,1152,0
5,1654,0
4,2653,0
3,4995,0
2,12002,0
1,49368,0
